Count of Files,Sequential Time (ms),Parallel Time (ms)
1,44,47
2,88,70
3,132,108
4,178,118
5,225,153
6,271,178
7,327,220
8,359,220
9,403,249
10,445,273
11,489,310
12,542,327
13,582,363
14,623,375
15,666,424
16,729,426
17,765,480
18,811,470
19,850,516
20,909,529
21,940,564
22,987,598
23,1028,603
24,1076,631
25,1129,664
26,1159,682
27,1207,718
28,1247,729
29,1289,759
30,1342,766
31,1375,823
32,1433,803
33,1483,982
34,1531,924
35,1561,906
36,1600,928
37,1646,993
38,1693,994
39,1735,1042
40,1785,1090
41,1829,1105
42,1871,1149
43,1942,1155
44,1977,1151
45,2023,1206
46,2061,1218
47,2109,1297
48,2181,1305
49,2490,1441
50,2256,1398
