Number of Records,Index Type,Query Time (s),EXPLAIN Plan
10000,No Index,20138.773441314697,"[('Hash Join  (cost=361.28..500.11 rows=289 width=4178) (actual time=122.635..160.463 rows=8036 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=455',), ('  ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.007..12.804 rows=10000 loops=1)',), ('        Buffers: shared hit=124',), ('  ->  Hash  (cost=358.31..358.31 rows=238 width=3100) (actual time=122.612..122.633 rows=8028 loops=1)',), ('        Buckets: 8192 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1350kB',), ('        Buffers: shared hit=331',), ('        ->  Hash Join  (cost=203.10..358.31 rows=238 width=3100) (actual time=72.902..110.501 rows=8028 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=331',), ('              ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.003..12.790 rows=10000 loops=1)',), ('                    Buffers: shared hit=143',), ('              ->  Hash  (cost=200.65..200.65 rows=196 width=2068) (actual time=72.885..72.898 rows=8034 loops=1)',), ('                    Buckets: 8192 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 849kB',), ('                    Buffers: shared hit=188',), ('                    ->  Hash Join  (cost=109.20..200.65 rows=196 width=2068) (actual time=23.501..61.046 rows=8034 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=188',), ('                          ->  Seq Scan on project p  (cost=0.00..89.88 rows=588 width=1040) (actual time=0.005..12.765 rows=10000 loops=1)',), ('                                Buffers: shared hit=84',), ('                          ->  Hash  (cost=107.90..107.90 rows=104 width=1036) (actual time=23.476..23.481 rows=8051 loops=1)',), ('                                Buckets: 8192 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 599kB',), ('                                Buffers: shared hit=104',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..107.90 rows=104 width=1036) (actual time=0.008..12.061 rows=8051 loops=1)',), (""                                      Filter: ((email)::text > 'falcnerdah@example.com'::text)"",), ('                                      Rows Removed by Filter: 1949',), ('                                      Buffers: shared hit=104',), ('Planning Time: 0.158 ms',), ('Execution Time: 171.633 ms',)]"
10000,BTREE,28066.69855117798,"[('Hash Join  (cost=724.58..867.45 rows=694 width=2175) (actual time=141.006..178.517 rows=8036 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=30351',), ('  ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.006..12.910 rows=10000 loops=1)',), ('        Buffers: shared hit=124',), ('  ->  Hash  (cost=717.43..717.43 rows=572 width=1097) (actual time=140.987..141.006 rows=8028 loops=1)',), ('        Buckets: 8192 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1350kB',), ('        Buffers: shared hit=30227',), ('        ->  Nested Loop  (cost=309.29..717.43 rows=572 width=1097) (actual time=27.206..128.528 rows=8028 loops=1)',), ('              Buffers: shared hit=30227',), ('              ->  Hash Join  (cost=309.00..461.03 rows=715 width=1072) (actual time=27.181..67.671 rows=10000 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=227',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.004..12.875 rows=10000 loops=1)',), ('                          Buffers: shared hit=143',), ('                    ->  Hash  (cost=184.00..184.00 rows=10000 width=40) (actual time=27.159..27.164 rows=10000 loops=1)',), ('                          Buckets: 16384  Batches: 1  Memory Usage: 832kB',), ('                          Buffers: shared hit=84',), ('                          ->  Seq Scan on project p  (cost=0.00..184.00 rows=10000 width=40) (actual time=0.005..13.251 rows=10000 loops=1)',), ('                                Buffers: shared hit=84',), ('              ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..0.36 rows=1 width=33) (actual time=0.002..0.002 rows=1 loops=10000)',), ('                    Index Cond: (id_user = p.user_id)',), (""                    Filter: ((email)::text > 'falcnerdah@example.com'::text)"",), ('                    Rows Removed by Filter: 0',), ('                    Buffers: shared hit=30000',), ('Planning:',), ('  Buffers: shared hit=12',), ('Planning Time: 0.225 ms',), ('Execution Time: 188.772 ms',)]"
10000,HASH,19560.35280227661,"[('Hash Join  (cost=522.72..661.55 rows=289 width=4178) (actual time=120.407..157.389 rows=8036 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=455',), ('  ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.008..12.744 rows=10000 loops=1)',), ('        Buffers: shared hit=124',), ('  ->  Hash  (cost=519.75..519.75 rows=238 width=3100) (actual time=120.386..120.409 rows=8028 loops=1)',), ('        Buckets: 8192 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1350kB',), ('        Buffers: shared hit=331',), ('        ->  Hash Join  (cost=364.54..519.75 rows=238 width=3100) (actual time=71.607..108.507 rows=8028 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=331',), ('              ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.004..12.787 rows=10000 loops=1)',), ('                    Buffers: shared hit=143',), ('              ->  Hash  (cost=362.09..362.09 rows=196 width=2068) (actual time=71.594..71.608 rows=8034 loops=1)',), ('                    Buckets: 8192 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 849kB',), ('                    Buffers: shared hit=188',), ('                    ->  Hash Join  (cost=270.66..362.09 rows=196 width=2068) (actual time=23.340..60.077 rows=8034 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=188',), ('                          ->  Seq Scan on project p  (cost=0.00..89.88 rows=588 width=1040) (actual time=0.005..12.565 rows=10000 loops=1)',), ('                                Buffers: shared hit=84',), ('                          ->  Hash  (cost=229.00..229.00 rows=3333 width=1036) (actual time=23.325..23.330 rows=8051 loops=1)',), ('                                Buckets: 8192 (originally 4096)  Batches: 1 (originally 1)  Memory Usage: 599kB',), ('                                Buffers: shared hit=104',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..229.00 rows=3333 width=1036) (actual time=0.008..11.954 rows=8051 loops=1)',), (""                                      Filter: ((email)::text > 'falcnerdah@example.com'::text)"",), ('                                      Rows Removed by Filter: 1949',), ('                                      Buffers: shared hit=104',), ('Planning Time: 0.154 ms',), ('Execution Time: 167.793 ms',)]"
20000,No Index,30873.130321502686,"[('Hash Join  (cost=720.40..996.94 rows=577 width=4178) (actual time=192.051..259.276 rows=10178 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=907',), ('  ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.006..25.420 rows=20000 loops=1)',), ('        Buffers: shared hit=247',), ('  ->  Hash  (cost=714.44..714.44 rows=477 width=3100) (actual time=192.016..192.037 rows=10138 loops=1)',), ('        Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1752kB',), ('        Buffers: shared hit=660',), ('        ->  Hash Join  (cost=404.01..714.44 rows=477 width=3100) (actual time=110.629..176.725 rows=10138 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=660',), ('              ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.004..25.441 rows=20000 loops=1)',), ('                    Buffers: shared hit=286',), ('              ->  Hash  (cost=399.13..399.13 rows=390 width=2068) (actual time=110.611..110.625 rows=10124 loops=1)',), ('                    Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1117kB',), ('                    Buffers: shared hit=374',), ('                    ->  Hash Join  (cost=217.35..399.13 rows=390 width=2068) (actual time=30.909..95.974 rows=10124 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=374',), ('                          ->  Seq Scan on project p  (cost=0.00..178.69 rows=1169 width=1040) (actual time=0.003..25.059 rows=20000 loops=1)',), ('                                Buffers: shared hit=167',), ('                          ->  Hash  (cost=214.76..214.76 rows=207 width=1036) (actual time=30.898..30.903 rows=10304 loops=1)',), ('                                Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 813kB',), ('                                Buffers: shared hit=207',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..214.76 rows=207 width=1036) (actual time=0.008..16.277 rows=10304 loops=1)',), (""                                      Filter: ((email)::text > 'mnjuebzwlg@example.com'::text)"",), ('                                      Rows Removed by Filter: 9696',), ('                                      Buffers: shared hit=207',), ('Planning Time: 0.150 ms',), ('Execution Time: 272.223 ms',)]"
20000,BTREE,28823.485374450684,"[('Hash Join  (cost=1043.37..1319.91 rows=577 width=4178) (actual time=195.473..263.681 rows=10178 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=907',), ('  ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.008..25.389 rows=20000 loops=1)',), ('        Buffers: shared hit=247',), ('  ->  Hash  (cost=1037.40..1037.40 rows=477 width=3100) (actual time=195.437..195.460 rows=10138 loops=1)',), ('        Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1752kB',), ('        Buffers: shared hit=660',), ('        ->  Hash Join  (cost=726.97..1037.40 rows=477 width=3100) (actual time=112.051..180.154 rows=10138 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=660',), ('              ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.004..25.641 rows=20000 loops=1)',), ('                    Buffers: shared hit=286',), ('              ->  Hash  (cost=722.10..722.10 rows=390 width=2068) (actual time=112.034..112.049 rows=10124 loops=1)',), ('                    Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1117kB',), ('                    Buffers: shared hit=374',), ('                    ->  Hash Join  (cost=540.34..722.10 rows=390 width=2068) (actual time=30.261..97.439 rows=10124 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=374',), ('                          ->  Seq Scan on project p  (cost=0.00..178.69 rows=1169 width=1040) (actual time=0.004..25.299 rows=20000 loops=1)',), ('                                Buffers: shared hit=167',), ('                          ->  Hash  (cost=457.00..457.00 rows=6667 width=1036) (actual time=30.221..30.227 rows=10304 loops=1)',), ('                                Buckets: 16384 (originally 8192)  Batches: 1 (originally 1)  Memory Usage: 813kB',), ('                                Buffers: shared hit=207',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..457.00 rows=6667 width=1036) (actual time=0.007..15.847 rows=10304 loops=1)',), (""                                      Filter: ((email)::text > 'mnjuebzwlg@example.com'::text)"",), ('                                      Rows Removed by Filter: 9696',), ('                                      Buffers: shared hit=207',), ('Planning Time: 0.151 ms',), ('Execution Time: 276.787 ms',)]"
20000,HASH,49592.384815216064,"[('Nested Loop  (cost=1026.44..1711.85 rows=896 width=1210) (actual time=168.650..363.333 rows=10178 loops=1)',), ('  Buffers: shared hit=40700',), ('  ->  Hash Join  (cost=1026.44..1560.73 rows=1729 width=1185) (actual time=168.596..254.352 rows=20000 loops=1)',), ('        Hash Cond: (p.id_project = ta.project_id)',), ('        Buffers: shared hit=700',), ('        ->  Seq Scan on project p  (cost=0.00..367.00 rows=20000 width=40) (actual time=0.005..25.669 rows=20000 loops=1)',), ('              Buffers: shared hit=167',), ('        ->  Hash  (cost=1004.83..1004.83 rows=1729 width=1153) (actual time=168.578..168.592 rows=20000 loops=1)',), ('              Buckets: 32768 (originally 2048)  Batches: 1 (originally 1)  Memory Usage: 3079kB',), ('              Buffers: shared hit=533',), ('              ->  Hash Join  (cost=736.00..1004.83 rows=1729 width=1153) (actual time=55.920..138.323 rows=20000 loops=1)',), ('                    Hash Cond: (t.table_id = ta.id_table)',), ('                    Buffers: shared hit=533',), ('                    ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.004..25.512 rows=20000 loops=1)',), ('                          Buffers: shared hit=247',), ('                    ->  Hash  (cost=486.00..486.00 rows=20000 width=75) (actual time=55.880..55.884 rows=20000 loops=1)',), ('                          Buckets: 32768  Batches: 1  Memory Usage: 2366kB',), ('                          Buffers: shared hit=286',), ('                          ->  Seq Scan on table_app ta  (cost=0.00..486.00 rows=20000 width=75) (actual time=0.004..27.021 rows=20000 loops=1)',), ('                                Buffers: shared hit=286',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..0.09 rows=1 width=33) (actual time=0.002..0.002 rows=1 loops=20000)',), ('        Index Cond: (id_user = p.user_id)',), (""        Filter: ((email)::text > 'mnjuebzwlg@example.com'::text)"",), ('        Rows Removed by Filter: 0',), ('        Buffers: shared hit=40000',), ('Planning:',), ('  Buffers: shared hit=24',), ('Planning Time: 0.293 ms',), ('Execution Time: 376.968 ms',)]"
30000,No Index,66642.55475997925,"[('Hash Join  (cost=1079.48..1494.85 rows=866 width=4178) (actual time=374.304..490.244 rows=24446 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=1360',), ('  ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.008..37.904 rows=30000 loops=1)',), ('        Buffers: shared hit=371',), ('  ->  Hash  (cost=1070.55..1070.55 rows=715 width=3100) (actual time=374.278..374.300 rows=24472 loops=1)',), ('        Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 4176kB',), ('        Buffers: shared hit=989',), ('        ->  Hash Join  (cost=604.90..1070.55 rows=715 width=3100) (actual time=220.408..337.170 rows=24472 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=989',), ('              ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.004..38.378 rows=30000 loops=1)',), ('                    Buffers: shared hit=429',), ('              ->  Hash  (cost=597.62..597.62 rows=583 width=2068) (actual time=220.395..220.409 rows=24606 loops=1)',), ('                    Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 2659kB',), ('                    Buffers: shared hit=560',), ('                    ->  Hash Join  (cost=325.50..597.62 rows=583 width=2068) (actual time=70.021..184.773 rows=24606 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=560',), ('                          ->  Seq Scan on project p  (cost=0.00..267.50 rows=1750 width=1040) (actual time=0.005..37.997 rows=30000 loops=1)',), ('                                Buffers: shared hit=250',), ('                          ->  Hash  (cost=321.62..321.62 rows=310 width=1036) (actual time=70.006..70.011 rows=24504 loops=1)',), ('                                Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1884kB',), ('                                Buffers: shared hit=310',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..321.62 rows=310 width=1036) (actual time=0.008..36.001 rows=24504 loops=1)',), (""                                      Filter: ((email)::text > 'esvfgzkyeo@example.com'::text)"",), ('                                      Rows Removed by Filter: 5496',), ('                                      Buffers: shared hit=310',), ('Planning Time: 0.196 ms',), ('Execution Time: 521.191 ms',)]"
30000,BTREE,73262.375831604,"[('Hash Join  (cost=2863.49..3278.86 rows=866 width=4178) (actual time=414.985..529.997 rows=24446 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=91050',), ('  ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.011..37.856 rows=30000 loops=1)',), ('        Buffers: shared hit=371',), ('  ->  Hash  (cost=2854.56..2854.56 rows=715 width=3100) (actual time=414.955..414.974 rows=24472 loops=1)',), ('        Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 4176kB',), ('        Buffers: shared hit=90679',), ('        ->  Hash Join  (cost=2388.91..2854.56 rows=715 width=3100) (actual time=260.293..377.787 rows=24472 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=90679',), ('              ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.007..38.959 rows=30000 loops=1)',), ('                    Buffers: shared hit=429',), ('              ->  Hash  (cost=2381.63..2381.63 rows=583 width=2068) (actual time=260.274..260.284 rows=24606 loops=1)',), ('                    Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 2659kB',), ('                    Buffers: shared hit=90250',), ('                    ->  Nested Loop  (cost=0.29..2381.63 rows=583 width=2068) (actual time=0.038..225.049 rows=24606 loops=1)',), ('                          Buffers: shared hit=90250',), ('                          ->  Seq Scan on project p  (cost=0.00..267.50 rows=1750 width=1040) (actual time=0.007..38.285 rows=30000 loops=1)',), ('                                Buffers: shared hit=250',), ('                          ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..1.21 rows=1 width=1036) (actual time=0.002..0.002 rows=1 loops=30000)',), ('                                Index Cond: (id_user = p.user_id)',), (""                                Filter: ((email)::text > 'esvfgzkyeo@example.com'::text)"",), ('                                Rows Removed by Filter: 0',), ('                                Buffers: shared hit=90000',), ('Planning Time: 0.362 ms',), ('Execution Time: 560.867 ms',)]"
30000,HASH,70148.76174926758,"[('Hash Join  (cost=2684.37..3099.74 rows=866 width=4178) (actual time=398.387..514.350 rows=24446 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=65108',), ('  ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.006..38.084 rows=30000 loops=1)',), ('        Buffers: shared hit=371',), ('  ->  Hash  (cost=2675.43..2675.43 rows=715 width=3100) (actual time=398.364..398.383 rows=24472 loops=1)',), ('        Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 4176kB',), ('        Buffers: shared hit=64737',), ('        ->  Hash Join  (cost=2209.79..2675.43 rows=715 width=3100) (actual time=244.920..361.553 rows=24472 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=64737',), ('              ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.004..38.503 rows=30000 loops=1)',), ('                    Buffers: shared hit=429',), ('              ->  Hash  (cost=2202.50..2202.50 rows=583 width=2068) (actual time=244.907..244.918 rows=24606 loops=1)',), ('                    Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 2659kB',), ('                    Buffers: shared hit=64308',), ('                    ->  Nested Loop  (cost=0.00..2202.50 rows=583 width=2068) (actual time=0.020..210.500 rows=24606 loops=1)',), ('                          Buffers: shared hit=64308',), ('                          ->  Seq Scan on project p  (cost=0.00..267.50 rows=1750 width=1040) (actual time=0.003..37.734 rows=30000 loops=1)',), ('                                Buffers: shared hit=250',), ('                          ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..1.11 rows=1 width=1036) (actual time=0.002..0.002 rows=1 loops=30000)',), ('                                Index Cond: (id_user = p.user_id)',), (""                                Filter: ((email)::text > 'esvfgzkyeo@example.com'::text)"",), ('                                Rows Removed by Filter: 0',), ('                                Buffers: shared hit=64058',), ('Planning Time: 0.312 ms',), ('Execution Time: 545.501 ms',)]"
40000,No Index,62407.233238220215,"[('Hash Join  (cost=3136.21..4038.10 rows=1178 width=1210) (actual time=385.165..552.175 rows=13797 loops=1)',), ('  Hash Cond: (p.id_project = ta.project_id)',), ('  Buffers: shared hit=1813',), ('  ->  Hash Join  (cost=1083.33..1922.34 rows=13626 width=65) (actual time=42.695..169.062 rows=13729 loops=1)',), ('        Hash Cond: (p.user_id = ua.id_user)',), ('        Buffers: shared hit=747',), ('        ->  Seq Scan on project p  (cost=0.00..734.00 rows=40000 width=40) (actual time=0.004..51.053 rows=40000 loops=1)',), ('              Buffers: shared hit=334',), ('        ->  Hash  (cost=913.00..913.00 rows=13626 width=33) (actual time=42.670..42.676 rows=13859 loops=1)',), ('              Buckets: 16384  Batches: 1  Memory Usage: 1049kB',), ('              Buffers: shared hit=413',), ('              ->  Seq Scan on user_app ua  (cost=0.00..913.00 rows=13626 width=33) (actual time=0.005..23.474 rows=13859 loops=1)',), (""                    Filter: ((email)::text > 'rchfxtyoqp@example.com'::text)"",), ('                    Rows Removed by Filter: 26141',), ('                    Buffers: shared hit=413',), ('  ->  Hash  (cost=2009.66..2009.66 rows=3458 width=1153) (actual time=342.430..342.442 rows=40000 loops=1)',), ('        Buckets: 65536 (originally 4096)  Batches: 1 (originally 1)  Memory Usage: 6157kB',), ('        Buffers: shared hit=1066',), ('        ->  Hash Join  (cost=1472.00..2009.66 rows=3458 width=1153) (actual time=113.198..281.483 rows=40000 loops=1)',), ('              Hash Cond: (t.table_id = ta.id_table)',), ('              Buffers: shared hit=1066',), ('              ->  Seq Scan on task t  (cost=0.00..528.58 rows=3458 width=1086) (actual time=0.007..51.705 rows=40000 loops=1)',), ('                    Buffers: shared hit=494',), ('              ->  Hash  (cost=972.00..972.00 rows=40000 width=75) (actual time=113.130..113.134 rows=40000 loops=1)',), ('                    Buckets: 65536  Batches: 1  Memory Usage: 4731kB',), ('                    Buffers: shared hit=572',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..972.00 rows=40000 width=75) (actual time=0.005..54.362 rows=40000 loops=1)',), ('                          Buffers: shared hit=572',), ('Planning:',), ('  Buffers: shared hit=24',), ('Planning Time: 0.250 ms',), ('Execution Time: 570.919 ms',)]"
